#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476538	1.399759	1.484382	1.479983	1.393387	1.471525	119.620771	120.934624	117.997424	119.564661	120.833042	118.532818	-1.845896	12.901536	-10.105698	0.166131	87.0268	[O-][N+](=O)C1=CC=CC2=C1C(=O)C3=C(C(=CC=C3)Cl)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476549	1.392428	1.473043	1.476977	1.399003	1.486220	119.552021	120.507969	120.141153	119.407467	120.899983	119.127733	-0.366279	-3.640748	2.466274	0.061918	77.3233	NC1=CC=CC2=C1C(=O)C3=C(C=C(Cl)C=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476556	1.393973	1.476865	1.476551	1.392129	1.476419	119.094638	120.403746	120.431698	119.137907	120.390057	120.538593	0.097372	-0.479374	0.333867	0.006068	86.2547	Nc1ccc2C(=O)c3ccccc3C(=O)c2c1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476556	1.393973	1.476865	1.476551	1.392129	1.476419	119.094638	120.403751	120.431693	119.137910	120.390055	120.538593	0.097348	-0.479352	0.333859	0.006068	86.2538	NC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476587	1.393878	1.476694	1.476960	1.392937	1.476647	119.122619	120.421718	120.431883	119.135109	120.411247	120.477225	-0.019637	-0.099599	0.166439	0.001400	73.1708	CC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476737	1.394025	1.476481	1.476169	1.395145	1.476880	119.133069	120.437677	120.416089	119.205954	120.373156	120.434055	-0.000134	0.000085	0.000038	0.000001	84.6970	OC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476810	1.391728	1.473257	1.478013	1.398144	1.482499	119.398970	120.447078	120.137817	119.238702	120.857781	119.101539	-0.357221	-4.868855	2.316794	0.091290	73.8066	OC(=O)C1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476883	1.391274	1.476883	1.476604	1.393812	1.476604	119.120764	120.464866	120.464866	119.120768	120.414205	120.414200	0.226571	-0.161882	0.029104	0.001632	58.4030	O=C1C2=C(C=CC=C2)C(=O)C3=C1C=C4CCCCC4=C3
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477275	1.395257	1.474055	1.477275	1.395257	1.474055	120.685037	119.068383	120.246560	120.685048	119.068364	120.246570	-0.049851	0.050539	-0.049962	0.000449	0.2148	OC1=C(O)C(=C(O)C2=C1C(=O)C3=C(C(=C(O)C(=C3O)S(O)(=O)=O)O)C2=O)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477435	1.398548	1.478961	1.477436	1.398548	1.478961	119.064882	120.240006	117.203544	119.064877	120.240006	117.203541	-4.811209	23.219134	-18.483498	0.276670	90.0000	OS(=O)(=O)C1=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC=C1)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477506	1.399633	1.483945	1.478148	1.394943	1.479627	119.528640	121.164077	118.161746	119.688178	120.968694	118.640437	1.851417	-11.776846	9.999097	0.142974	89.9322	NC1=CC=CC2=C1C(=O)C3=C(C(=CC=C3)Cl)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477714	1.391895	1.473236	1.477082	1.396223	1.485711	119.284684	120.580359	120.259097	119.318147	120.837045	119.518938	0.313255	2.363909	-1.204703	0.045358	73.4988	OCC1=CC(=C2C(=O)C3=CC=CC=C3C(=O)C2=C1)OC[CH](O)[CH](O)[CH](O)C=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.478961	1.398548	1.477436	1.478961	1.398548	1.477436	119.064884	117.203542	120.240011	119.064877	117.203548	120.240004	-4.811193	-18.483489	23.219110	0.276670	90.0000	OS(=O)(=O)c1cccc2C(=O)c3c(cccc3C(=O)c12)S(=O)(=O)O
